temperature_c,saturation_g_m3
-20.0,0.88
-19.5,0.92
-19.0,0.96
-18.5,1.01
-18.0,1.06
-17.5,1.11
-17.0,1.16
-16.5,1.21
-16.0,1.27
-15.5,1.32
-15.0,1.38
-14.5,1.45
-14.0,1.51
-13.5,1.58
-13.0,1.65
-12.5,1.72
-12.0,1.8
-11.5,1.88
-11.0,1.96
-10.5,2.05
-10.0,2.14
-9.5,2.23
-9.0,2.33
-8.5,2.43
-8.0,2.53
-7.5,2.64
-7.0,2.75
-6.5,2.87
-6.0,2.99
-5.5,3.11
-5.0,3.24
-4.5,3.38
-4.0,3.52
-3.5,3.66
-3.0,3.82
-2.5,3.97
-2.0,4.13
-1.5,4.3
-1.0,4.48
-0.5,4.66
0.0,4.85
0.5,5.02
1.0,5.19
1.5,5.37
2.0,5.56
2.5,5.75
3.0,5.95
3.5,6.15
4.0,6.36
4.5,6.57
5.0,6.8
5.5,7.02
6.0,7.26
6.5,7.5
7.0,7.75
7.5,8.0
8.0,8.27
8.5,8.54
9.0,8.82
9.5,9.1
10.0,9.4
10.5,9.7
11.0,10.01
11.5,10.33
12.0,10.66
12.5,11.0
13.0,11.34
13.5,11.7
14.0,12.06
14.5,12.44
15.0,12.82
15.5,13.22
16.0,13.63
16.5,14.04
17.0,14.47
17.5,14.91
18.0,15.36
18.5,15.82
19.0,16.3
19.5,16.78
20.0,17.28
20.5,17.8
21.0,18.32
21.5,18.86
22.0,19.41
22.5,19.98
23.0,20.56
23.5,21.15
24.0,21.76
24.5,22.38
25.0,23.02
25.5,23.68
26.0,24.35
26.5,25.03
27.0,25.74
27.5,26.46
28.0,27.2
28.5,27.95
29.0,28.73
29.5,29.52
30.0,30.33
30.5,31.16
31.0,32.01
31.5,32.87
32.0,33.76
32.5,34.67
33.0,35.6
33.5,36.55
34.0,37.52
34.5,38.52
35.0,39.54
35.5,40.58
36.0,41.64
36.5,42.73
37.0,43.84
37.5,44.97
38.0,46.13
38.5,47.32
39.0,48.53
39.5,49.77
40.0,51.03
